Date,Price
2011-12-13,3.3
2011-12-14,3.277
2011-12-15,3.1933
2011-12-16,3.23
2011-12-17,3.23
2011-12-18,3.25
2011-12-19,3.70036
2011-12-20,4.5
2011-12-21,4.11
2011-12-22,3.99199
2011-12-23,3.95
2011-12-24,3.9499
2011-12-25,4.3897
2011-12-26,4.31259
2011-12-27,4.06
2011-12-28,4.18888
2011-12-29,4.33
2011-12-30,4.3
2011-12-31,4.995
2012-01-13,6.85838999
2012-01-14,6.75
2012-01-15,6.98999
2012-01-16,7.18888
2012-01-17,6.98
2012-01-18,6.95
2012-01-19,6.3
2012-01-20,6.58
2012-01-21,6.55
2012-01-22,6.39
2012-01-23,6.45485
2012-01-24,6.515
2012-01-25,6.45
2012-01-26,6.2
2012-01-27,5.689
2012-01-28,5.74815
2012-01-29,5.76
2012-01-30,5.6
2012-01-31,5.65
2012-02-13,5.72
2012-02-14,5.6
2012-02-15,4.88
2012-02-16,4.73368
2012-02-17,4.76998
2012-02-18,4.49675
2012-02-19,4.33333
2012-02-20,4.52
2012-02-21,4.4354
2012-02-22,4.54
2012-02-23,4.92481
2012-02-24,5.19778
2012-02-25,5.07
2012-02-26,5.00073
2012-02-27,5.1
2012-02-28,5.0
2012-02-29,4.9
2012-03-13,5.41
2012-03-14,5.4444
2012-03-15,5.45
2012-03-16,5.4
2012-03-17,5.3998
2012-03-18,5.37998
2012-03-19,5.3099
2012-03-20,4.98
2012-03-21,4.87
2012-03-22,4.88
2012-03-23,4.83
2012-03-24,4.74896
2012-03-25,4.68294
2012-03-26,4.73793
2012-03-27,4.74
2012-03-28,4.84592
2012-03-29,4.86092
2012-03-30,4.83
2012-03-31,4.95
2012-04-13,4.94464
2012-04-14,5.03
2012-04-15,4.98389
2012-04-16,4.98
2012-04-17,5.02207
2012-04-18,5.1782
2012-04-19,5.19
2012-04-20,5.17
2012-04-21,5.48
2012-04-22,5.3287
2012-04-23,5.21799
2012-04-24,5.2
2012-04-25,5.16
2012-04-26,5.18
2012-04-27,5.1372
2012-04-28,5.1176
2012-04-29,5.0184
2012-04-30,5.0
2012-05-13,4.99888
2012-05-14,5.036
2012-05-15,5.09
2012-05-16,5.08998
2012-05-17,5.1345
2012-05-18,5.13
2012-05-19,5.14291
2012-05-20,5.15
2012-05-21,5.1475
2012-05-22,5.12
2012-05-23,5.16
2012-05-24,5.2324
2012-05-25,5.15
2012-05-26,5.149
2012-05-27,5.148
2012-05-28,5.16
2012-05-29,5.15889
2012-05-30,5.1725
2012-05-31,5.19
2012-06-13,5.96
2012-06-14,5.95
2012-06-15,6.165
2012-06-16,6.599
2012-06-17,6.52999
2012-06-18,6.4668
2012-06-19,6.53294
2012-06-20,6.64999
2012-06-21,6.8
2012-06-22,6.79962
2012-06-23,6.65062
2012-06-24,6.5915
2012-06-25,6.44999
2012-06-26,6.4514
2012-06-27,6.55555
2012-06-28,6.66897
2012-06-29,6.662
2012-06-30,6.693
2012-07-13,7.9
2012-07-14,7.68891
2012-07-15,7.64877
2012-07-16,8.2899
2012-07-17,9.49
2012-07-18,9.39899
2012-07-19,9.27491
2012-07-20,9.23355
2012-07-21,9.7
2012-07-22,9.0
2012-07-23,9.2
2012-07-24,8.96
2012-07-25,8.76998
2012-07-26,8.9
2012-07-27,8.95
2012-07-28,8.93
2012-07-29,8.889
2012-07-30,9.15
2012-07-31,9.44
2012-08-13,11.86999
2012-08-14,12.17887
2012-08-15,12.67
2012-08-16,13.84119
2012-08-17,15.4
2012-08-18,15.26014
2012-08-19,12.0
2012-08-20,10.5
2012-08-21,10.29999
2012-08-22,10.26
2012-08-23,10.25
2012-08-24,10.25
2012-08-25,10.25
2012-08-26,10.61913
2012-08-27,12.14999
2012-08-28,11.3807
2012-08-29,11.20999
2012-08-30,10.937
2012-08-31,10.8359
2012-09-13,11.399
2012-09-14,11.75
2012-09-15,11.799
2012-09-16,11.99
2012-09-17,11.9625
2012-09-18,12.09
2012-09-19,12.61
2012-09-20,12.68666
2012-09-21,12.57001
2012-09-22,12.4433
2012-09-23,12.2749
2012-09-24,12.29888
2012-09-25,12.22909
2012-09-26,12.28
2012-09-27,12.46
2012-09-28,12.444
2012-09-29,12.49
2012-09-30,12.47499
2012-10-13,12.137
2012-10-14,12.0
2012-10-15,12.03
2012-10-16,11.99
2012-10-17,11.99
2012-10-18,11.95998
2012-10-19,11.967
2012-10-20,11.85
2012-10-21,11.7965
2012-10-22,11.81
2012-10-23,12.0
2012-10-24,11.82
2012-10-25,11.71
2012-10-26,11.09988
2012-10-27,10.83883
2012-10-28,10.61
2012-10-29,10.95
2012-10-30,10.85
2012-10-31,11.14
2012-11-13,11.129
2012-11-14,11.05
2012-11-15,11.114
2012-11-16,11.8
2012-11-17,11.8
2012-11-18,11.832
2012-11-19,11.79998
2012-11-20,11.84
2012-11-21,11.784
2012-11-22,12.28
2012-11-23,12.43
2012-11-24,12.4108
2012-11-25,12.6
2012-11-26,12.6515
2012-11-27,12.52999
2012-11-28,12.40712
2012-11-29,12.599
2012-11-30,12.65
2012-12-13,13.79989
2012-12-14,13.90119
2012-12-15,13.7722
2012-12-16,13.66548
2012-12-17,13.498
2012-12-18,13.399
2012-12-19,13.399
2012-12-20,13.72
2012-12-21,13.6475
2012-12-22,13.58998
2012-12-23,13.48547
2012-12-24,13.45
2012-12-25,13.45
2012-12-26,13.3989
2012-12-27,13.47
2012-12-28,13.6499
2012-12-29,13.67
2012-12-30,13.56998
2012-12-31,13.59
2013-01-13,14.3148
2013-01-14,14.3
2013-01-15,14.47899
2013-01-16,14.689
2013-01-17,15.39
2013-01-18,15.985
2013-01-19,15.84304
2013-01-20,15.89
2013-01-21,16.98
2013-01-22,17.59
2013-01-23,17.5889
2013-01-24,19.18999
2013-01-25,18.8348
2013-01-26,17.61926
2013-01-27,17.99999
2013-01-28,18.45
2013-01-29,19.8
2013-01-30,19.7
2013-01-31,21.43
2013-02-13,26.09999
2013-02-14,26.53092
2013-02-15,26.99898
2013-02-16,27.07009
2013-02-17,25.6083
2013-02-18,26.81565
2013-02-19,28.78999
2013-02-20,29.81231
2013-02-21,29.80012
2013-02-22,30.901
2013-02-23,29.27998
2013-02-24,30.29777
2013-02-25,30.25001
2013-02-26,31.179
2013-02-27,31.40181
2013-02-28,33.50001
2013-03-13,46.79999
2013-03-14,47.27589
2013-03-15,47.25005
2013-03-16,47.11
2013-03-17,47.4419
2013-03-18,47.65
2013-03-19,57.76
2013-03-20,63.40967
2013-03-21,73.8
2013-03-22,71.5
2013-03-23,63.0
2013-03-24,70.1
2013-03-25,73.88798
2013-03-26,78.0
2013-03-27,88.9
2013-03-28,93.56701
2013-03-29,89.05
2013-03-30,90.99999
2013-03-31,92.50001
2013-04-13,109.49999
2013-04-14,91.0
2013-04-15,91.0
2013-04-16,91.0
2013-04-17,85.59999
2013-04-18,96.5
2013-04-19,119.62
2013-04-20,123.86
2013-04-21,125.0
2013-04-22,123.515
2013-04-23,136.08099
2013-04-24,153.20019
2013-04-25,151.12001
2013-04-26,135.601
2013-04-27,128.00001
2013-04-28,135.98999
2013-04-29,141.50002
2013-04-30,139.109
2013-05-13,117.50298
2013-05-14,119.0
2013-05-15,114.98499
2013-05-16,115.09024
2013-05-17,124.49
2013-05-18,123.74995
2013-05-19,121.05628
2013-05-20,122.65001
2013-05-21,122.5
2013-05-22,122.64
2013-05-23,125.67
2013-05-24,131.5
2013-05-25,132.69
2013-05-26,134.04701
2013-05-27,132.60997
2013-05-28,128.321
2013-05-29,129.97994
2013-05-30,130.99589
2013-05-31,127.34072
2013-06-13,109.0
2013-06-14,100.0
2013-06-15,101.96998
2013-06-16,100.0
2013-06-17,100.52521
2013-06-18,107.38999
2013-06-19,107.835
2013-06-20,111.97
2013-06-21,111.0
2013-06-22,109.09
2013-06-23,107.68389
2013-06-24,101.96936
2013-06-25,103.86665
2013-06-26,104.40565
2013-06-27,102.79001
2013-06-28,96.63498
2013-06-29,95.85301
2013-06-30,96.5
2013-07-13,95.995
2013-07-14,94.75
2013-07-15,98.37516
2013-07-16,97.01
2013-07-17,97.97
2013-07-18,90.40001
2013-07-19,93.41082
2013-07-20,91.8775
2013-07-21,88.93999
2013-07-22,91.788
2013-07-23,95.396
2013-07-24,93.6216
2013-07-25,96.2
